ConcreteCompressiveStrength,Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age
68.75137880986938,424.0,22.0,132.0,176.2227830197162,8.571088679211352,822.0,750.0,51
65.66163061989707,424.296559118505,23.981120477454915,131.2871700236642,178.2631650139526,8.551036879392433,820.8673326318385,749.7439897828208,56
65.69488398671183,424.90331989288245,21.853768846537584,131.79946745035556,178.12467727639202,8.562874594554607,823.2398296764339,750.1047165428696,54
65.81087400643568,424.09493239258,23.108346863518975,132.0828855140524,177.8515972635801,8.505794109761261,819.9067262702804,750.8100838766715,54
65.74889222345132,423.22456691703485,21.906976468181277,132.3834296037372,177.9506396416622,8.542507452771138,822.4584058260048,749.4613393555861,54
65.59519717559208,423.46958482202797,21.39901304772345,132.17788727965967,177.96045795155337,8.51782038520975,823.1508251832857,749.6848381741906,57
65.74837403074643,424.20083686634047,22.941981225914432,131.86566813815023,177.71684725098532,8.628562568820202,823.9089128101759,750.3381250718462,56
65.93469439716756,367.0024884242251,188.15180168236645,0.0,191.58800894997458,6.626592339783706,822.4950921638036,756.7503715221314,29
65.83244493943174,365.4326591327835,186.49304858333042,0.0,191.34963036238838,6.607974320952803,824.7484410841164,755.9396467523314,28
98.865,366.0,187.0,0.0,191.08238270043097,6.890156399425393,824.0823827004309,756.9725390998564,28
65.87077642773666,365.8947216198396,185.93724518113567,0.0,191.2963886293797,6.442924284031168,826.0675021950639,757.099720595626,27
65.89651885998697,365.9847759620304,186.59243253856977,0.0,191.33737110686658,6.630027626644669,824.565582733095,756.0323300041463,27
65.97795402900046,365.51055841754993,186.392419412894,0.0,191.0908322982401,6.572731743542329,823.1107430109745,756.9505435221791,27
65.89270930251024,366.1087997664773,187.53241233225435,0.9681255244988651,191.2397708022099,6.5300983688794725,822.650042458937,756.3412437158199,28
65.8257014671518,366.69685308071524,186.84779264247723,0.0,191.4498383535243,6.934396838323639,822.9999637403432,757.079473166333,27
