Rings,Length,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight,Sex_F,Sex_I,Sex_M
22,0.6812973328398627,0.5208725716400588,0.1730424761199804,1.4671703982235058,0.582893809700049,0.3327863019632213,0.41466480088824714,0,0,1
22,0.683240792058258,0.5228394719611613,0.17108026401941934,1.4448994894213936,0.5542202683844774,0.38057934868156773,0.41351841588348387,0,0,1
22,0.6527731474116557,0.5131373439605298,0.17722685258834436,1.440124387773298,0.5596654289563974,0.24403904647499336,0.4539635803451126,0,0,1
22,0.6563381036440556,0.5278638937923658,0.169694841970338,1.3814062907160714,0.5840611655741311,0.21599757018857266,0.446103428529638,0,0,1
22,0.5231143345769185,0.417457338307674,0.145,0.8106254259961809,0.3416655286077097,0.1937261100730398,0.22680034203842947,1,0,0
22,0.5328735779494982,0.41358238529966546,0.17932954119866187,0.8397279816245818,0.3195995780663214,0.15991761470033453,0.28653266034682195,1,0,0
22,0.695,0.519871480580239,0.1772143093546541,1.5622476312671538,0.5933230207342064,0.41182858561279245,0.41612885038491854,0,0,1
22,0.695,0.5664133757381513,0.1964133757381513,1.8396809522863538,0.6925380245318657,0.3957310186266556,0.6132675147630255,0,0,1
15,0.5081731069015896,0.4040178849800475,0.15662088768616847,0.5745563705013191,0.2104155221921542,0.13642446468217795,0.23761338092086604,0,1,0
15,0.4615345524786797,0.37115091435900976,0.16365409047008253,0.47806910495735944,0.17286286815815005,0.11495973052138936,0.17230182871801958,0,1,0
22,0.5335588558160598,0.4197815495040682,0.14100424319207677,0.9951353134896358,0.3857663837871949,0.23407433607753775,0.3133404053201279,0,0,1
22,0.5533409761738577,0.44238968705583726,0.1664383979378169,1.0070045857043144,0.3840707734708122,0.2134444105615485,0.3557306632296948,0,0,1
22,0.5975698989774112,0.46787366160523475,0.1990887121165292,1.035556439417354,0.39382257576694163,0.2059301010225888,0.2924301010225888,1,0,0
22,0.6033496503401772,0.4733496503401771,0.16315384625805116,1.022625874149557,0.4439195802727461,0.2179034964627618,0.27660139863929134,1,0,0
